City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
259,limon,75,CR,1586914653,79,10.0,-83.03,84.2,6.93
260,lobva,100,RU,1586914676,92,59.19,60.52,36.73,3.2
261,lodja,44,CD,1586914696,83,-3.48,23.43,69.58,0.58
262,longyearbyen,75,SJ,1586914489,93,78.22,15.64,32.0,21.92
263,lorengau,69,PG,1586914678,64,-2.02,147.27,85.55,1.86
264,lorengau,69,PG,1586914678,64,-2.02,147.27,85.55,1.86
265,louis trichardt,79,ZA,1586914695,47,-23.04,29.9,64.94,3.27
266,luanda,75,AO,1586914705,88,-8.84,13.23,78.8,6.93
267,lubango,23,AO,1586914696,51,-14.92,13.49,60.58,2.77
268,luderitz,2,NA,1586914705,59,-26.65,15.16,60.8,11.41
269,lusambo,82,CD,1586914697,83,-4.97,23.45,71.15,0.92
270,luwuk,80,ID,1586914698,57,-0.95,122.79,87.94,1.92
271,maamba,0,ZM,1586914715,51,-17.37,27.15,69.94,2.21
272,maarianhamina,90,AX,1586914673,93,60.1,19.93,39.2,5.82
273,mabamba,99,TZ,1586914709,64,-3.6,30.5,62.53,2.28
274,mabaruma,1,GY,1586914678,86,8.2,-59.78,73.18,4.43
275,mahajanga,20,MG,1586914715,65,-15.72,46.32,78.8,6.93
276,mahebourg,75,MU,1586914694,74,-20.41,57.7,78.8,16.11
277,mahenge,90,TZ,1586914718,86,-8.68,36.72,63.19,2.06
278,majene,75,ID,1586914721,57,-3.54,118.97,88.61,3.6
279,makakilo city,1,US,1586914528,74,21.35,-158.09,80.6,4.7
280,manggar,27,ID,1586914705,64,-2.88,108.27,86.49,4.94
281,manica,0,FR,1586914717,80,49.0,-1.17,42.8,9.71
282,manicore,99,BR,1586914721,100,-5.81,-61.3,75.2,2.24
283,maniitsoq,45,GL,1586914661,88,65.42,-52.9,24.13,11.21
284,maningrida,99,AU,1586914704,65,-12.07,134.27,87.24,12.24
285,mar del plata,20,AR,1586914690,71,-38.0,-57.56,60.01,13.87
286,marabba,0,SD,1586914659,16,12.35,32.18,72.37,11.25
287,maragogi,25,BR,1586914718,77,-9.01,-35.22,78.17,3.36
288,maralal,97,KE,1586914666,55,1.1,36.7,60.19,3.74
289,marawi,91,PH,1586914682,40,8.0,124.29,85.98,5.32
290,mareeba,29,AU,1586914699,58,-17.0,145.43,86.0,21.92
291,margate,98,GB,1586914711,68,51.38,1.39,46.0,2.24
292,martapura,20,ID,1586914712,88,-3.42,114.85,80.6,5.82
293,marystown,31,CA,1586914670,84,47.17,-55.15,36.25,9.26
294,mataura,100,NZ,1586914687,95,-46.19,168.86,46.99,4.0
295,matongo,100,TZ,1586914718,66,-2.38,34.08,64.02,1.79
296,maumere,15,ID,1586914720,68,-8.62,122.21,84.97,3.58
297,maun,9,BW,1586914700,78,-19.98,23.42,73.4,4.7
298,maxixe,8,MZ,1586914712,86,-23.86,35.35,75.52,8.95
299,mayo,90,US,1586914680,54,38.89,-76.51,55.4,6.33
300,mayor pablo lagerenza,0,PY,1586914709,44,-19.93,-60.77,64.2,5.75
301,mayumba,100,GA,1586914702,86,-3.43,10.66,79.84,6.51
302,mazamari,85,PE,1586914713,63,-11.33,-74.53,73.06,1.14
303,melita,55,CA,1586914664,61,49.27,-101.0,27.0,5.53
304,merauke,34,ID,1586914705,57,-8.47,140.33,89.78,4.5
305,meulaboh,43,ID,1586914719,66,4.14,96.13,85.12,2.24
306,mianyang,83,CN,1586914662,43,31.46,104.75,70.86,3.29
307,middle island,90,US,1586914680,61,40.88,-72.94,50.0,9.17
308,mildura,97,AU,1586914694,23,-34.2,142.15,79.0,14.99
309,mindelo,75,CV,1586914670,73,16.89,-24.98,71.6,13.87
310,misratah,100,LY,1586914677,75,32.38,15.09,66.29,2.13
311,mitsamiouli,73,KM,1586914711,73,-11.38,43.28,83.28,7.25
312,mitu,99,CO,1586914565,73,1.2,-70.17,75.96,2.26
313,miyako,45,JP,1586914681,57,39.64,141.95,55.98,6.04
314,mlandizi,20,TZ,1586914694,100,-6.7,38.73,75.2,3.36
315,mocuba,4,MZ,1586914720,93,-16.84,36.99,69.82,2.48
316,mokhotlong,83,LS,1586914716,43,-29.29,29.07,41.59,1.81
317,mombaca,100,BR,1586914430,85,-5.74,-39.63,71.24,1.36
318,mombasa,97,KE,1586914713,84,-4.05,39.66,79.32,10.25
319,monmouth,90,US,1586914685,66,40.3,-74.17,53.6,5.82
320,montes altos,100,BR,1586914705,92,-5.83,-47.07,69.58,3.22
321,morondava,3,MG,1586914685,79,-20.28,44.28,77.49,5.44
322,mount gambier,100,AU,1586914693,33,-37.83,140.77,71.6,10.29
323,mount isa,23,AU,1586914707,27,-20.73,139.5,91.4,11.41
324,mpulungu,100,ZM,1586914705,60,-8.76,31.11,73.2,3.53
325,mujiayingzi,97,CN,1586914664,26,42.12,118.78,58.84,2.35
326,nabire,89,ID,1586914699,63,-3.37,135.48,87.15,5.01
327,nadrag,0,RO,1586914680,85,45.65,22.18,32.0,8.05
328,nadym,100,RU,1586914671,98,65.53,72.52,32.58,14.18
329,nailsea,46,GB,1586914667,86,51.43,-2.76,42.8,5.82
330,namatanai,86,PG,1586914686,70,-3.67,152.43,83.52,1.72
331,namibe,30,AO,1586914686,71,-15.2,12.15,73.98,5.26
332,nanortalik,99,GL,1586914673,91,60.14,-45.24,29.32,6.24
333,nantucket,20,US,1586914559,81,41.28,-70.1,48.2,8.05
334,narsaq,75,GL,1586914670,50,60.92,-46.05,28.4,11.41
335,natal,75,BR,1586914689,88,-5.79,-35.21,82.4,5.82
336,natitingou,2,BJ,1586914670,83,10.3,1.38,80.6,5.01
337,naujoji akmene,100,LT,1586914659,80,56.32,22.9,35.6,13.87
338,naze,75,JP,1586914654,59,28.37,129.48,66.2,3.36
339,necochea,0,AR,1586914713,71,-38.55,-58.74,57.0,8.01
340,nelson,77,NZ,1586914672,56,-41.28,173.28,55.99,4.0
341,nelson bay,35,AU,1586914719,53,-32.72,152.15,81.0,9.17
342,new norfolk,75,AU,1586914690,87,-42.78,147.06,61.0,3.36
343,ngunguru,88,NZ,1586914708,68,-35.62,174.5,64.0,8.01
344,nhulunbuy,40,AU,1586914708,74,-12.23,136.77,86.0,16.11
345,nikolskoye,75,RU,1586914658,86,59.7,30.79,34.0,4.47
346,niono,54,ML,1586914668,46,14.25,-5.99,80.78,15.35
347,nisia floresta,75,BR,1586914712,88,-6.09,-35.21,82.4,5.82
348,nome,90,US,1586914678,100,64.5,-165.41,34.0,12.75
